端点 X,端点 Y,端点 Z,起点 X,起点 Y,起点 Z
19.4042,21.9195,0.0000,19.9251,24.9651,0.0000
19.4042,27.9195,0.0000,22.4042,27.9195,0.0000
19.4042,2.0000,0.0000,19.9251,5.0456,0.0000
19.4042,8.0000,0.0000,22.4042,8.0000,0.0000
19.4042,11.9598,0.0000,19.9251,15.0053,0.0000
19.4042,37.8793,0.0000,22.4042,37.8793,0.0000
19.4042,31.8793,0.0000,19.9251,34.9249,0.0000
19.9251,5.0456,0.0000,19.4042,8.0000,0.0000
19.9251,15.0053,0.0000,19.4042,17.9598,0.0000
19.9251,24.9651,0.0000,19.4042,27.9195,0.0000
19.9251,5.0456,0.0000,15.9207,5.0456,0.0000
19.9251,15.0053,0.0000,15.9207,15.0053,0.0000
19.9251,24.9651,0.0000,15.9207,24.9651,0.0000
19.9251,34.9249,0.0000,19.4042,37.8793,0.0000
22.4042,21.9195,0.0000,19.4042,21.9195,0.0000
22.4042,8.0000,0.0000,22.4042,11.9598,0.0000
22.4042,17.9598,0.0000,22.4042,21.9195,0.0000
22.4042,21.9195,0.0000,25.4042,21.9195,0.0000
22.4042,11.9598,0.0000,25.4042,11.9598,0.0000
22.4042,2.0000,0.0000,25.4042,2.0000,0.0000
22.4042,2.0000,0.0000,19.4042,2.0000,0.0000
22.4042,11.9598,0.0000,19.4042,11.9598,0.0000
22.4042,0.0000,0.0000,22.4042,2.0000,0.0000
22.4042,39.8793,0.0000,22.4042,37.8793,0.0000
22.4042,27.9195,0.0000,22.4042,31.8793,0.0000
22.4042,31.8793,0.0000,19.4042,31.8793,0.0000
22.4042,31.8793,0.0000,25.4042,31.8793,0.0000
24.8832,15.0053,0.0000,24.8832,15.0053,0.0000
24.8832,24.9651,0.0000,25.4042,27.9195,0.0000
24.8832,24.9651,0.0000,24.8832,24.9651,0.0000
24.8832,5.0456,0.0000,25.4042,8.0000,0.0000
24.8832,5.0456,0.0000,24.8832,5.0456,0.0000
24.8832,15.0053,0.0000,25.4042,17.9598,0.0000
24.8832,34.9249,0.0000,28.8876,34.9249,0.0000
24.8832,34.9249,0.0000,24.8832,34.9249,0.0000
24.8832,34.9249,0.0000,25.4042,37.8793,0.0000
25.4042,11.9598,0.0000,24.8832,15.0053,0.0000
25.4042,27.9195,0.0000,22.4042,27.9195,0.0000
25.4042,21.9195,0.0000,24.8832,24.9651,0.0000
25.4042,8.0000,0.0000,22.4042,8.0000,0.0000
25.4042,2.0000,0.0000,24.8832,5.0456,0.0000
25.4042,17.9598,0.0000,22.4042,17.9598,0.0000
25.4042,31.8793,0.0000,24.8832,34.9249,0.0000
25.4042,37.8793,0.0000,22.4042,37.8793,0.0000
28.3667,17.9598,0.0000,31.3667,17.9598,0.0000
28.3667,21.9195,0.0000,28.8876,24.9651,0.0000
28.3667,27.9195,0.0000,31.3667,27.9195,0.0000
28.3667,2.0000,0.0000,28.8876,5.0456,0.0000
28.3667,8.0000,0.0000,31.3667,8.0000,0.0000
28.3667,11.9598,0.0000,28.8876,15.0053,0.0000
28.3667,37.8793,0.0000,31.3667,37.8793,0.0000
28.3667,31.8793,0.0000,28.8876,34.9249,0.0000
28.8876,5.0456,0.0000,28.3667,8.0000,0.0000
28.8876,15.0053,0.0000,28.3667,17.9598,0.0000
28.8876,24.9651,0.0000,28.3667,27.9195,0.0000
28.8876,5.0456,0.0000,24.8832,5.0456,0.0000
28.8876,15.0053,0.0000,24.8832,15.0053,0.0000
28.8876,24.9651,0.0000,24.8832,24.9651,0.0000
28.8876,34.9249,0.0000,28.3667,37.8793,0.0000
31.3667,21.9195,0.0000,28.3667,21.9195,0.0000
31.3667,8.0000,0.0000,31.3667,11.9598,0.0000
31.3667,17.9598,0.0000,31.3667,21.9195,0.0000
31.3667,21.9195,0.0000,34.3667,21.9195,0.0000
31.3667,11.9598,0.0000,34.3667,11.9598,0.0000
31.3667,2.0000,0.0000,34.3667,2.0000,0.0000
31.3667,2.0000,0.0000,28.3667,2.0000,0.0000
31.3667,11.9598,0.0000,28.3667,11.9598,0.0000
31.3667,0.0000,0.0000,31.3667,2.0000,0.0000
31.3667,39.8793,0.0000,31.3667,37.8793,0.0000
31.3667,27.9195,0.0000,31.3667,31.8793,0.0000
31.3667,31.8793,0.0000,28.3667,31.8793,0.0000
31.3667,31.8793,0.0000,34.3667,31.8793,0.0000
33.8458,15.0053,0.0000,33.8458,15.0053,0.0000
33.8458,24.9651,0.0000,34.3667,27.9195,0.0000
33.8458,24.9651,0.0000,33.8458,24.9651,0.0000
33.8458,5.0456,0.0000,34.3667,8.0000,0.0000
33.8458,5.0456,0.0000,33.8458,5.0456,0.0000
33.8458,15.0053,0.0000,34.3667,17.9598,0.0000
33.8458,34.9249,0.0000,33.8458,34.9249,0.0000
33.8458,34.9249,0.0000,34.3667,37.8793,0.0000
34.3667,21.9195,0.0000,33.8458,24.9651,0.0000
34.3667,27.9195,0.0000,31.3667,27.9195,0.0000
34.3667,31.8793,0.0000,33.8458,34.9249,0.0000
34.3667,37.8793,0.0000,31.3667,37.8793,0.0000
34.3667,2.0000,0.0000,33.8458,5.0456,0.0000
34.3667,8.0000,0.0000,31.3667,8.0000,0.0000
34.3667,11.9598,0.0000,33.8458,15.0053,0.0000
34.3667,17.9598,0.0000,31.3667,17.9598,0.0000
35.8458,24.9651,0.0000,33.8458,24.9651,0.0000
35.8458,15.0053,0.0000,33.8458,15.0053,0.0000
35.8458,5.0456,0.0000,33.8458,5.0456,0.0000
35.8458,34.9249,0.0000,33.8458,34.9249,0.0000
